REESITO_PRATICA_CMP;REESITO_ESITO_CONTATTO;REESITO_NOTA
10193057898830;203;Avvia procedura per sovraindebitamento
10393056460270;200;NON RISPONDE
10193052627580;200;NON RISPONDE
10273048380900;200;NON RISPONDE
10193050887950;200;NON RISPONDE
10193055436980;200;NON RISPONDE
10193057751990;200;NON RISPONDE
10193058076080;200;NON RISPONDE
10273043771080;200;Numero inesistente Inviata email
10273045994570;002;promette
10273049015970;002;promette
10273054734890;002;Promette
10393057050890;002;promette
13143056673680;201;non vuole pagare
13093058592230;200;NON RISPONDE
