REESITO_PROCEDURA;REESITO_LOTTO_REC;REESITO_DATA_INCAR;REESITO_PRATICA;REESITO_PRATICA_CMP;REESITO_RECUPERATORE;REESITO_N_RAPP;REESITO_DATA_CONTATTO;REESITO_ESITO_CONTATTO;REESITO_NOTA
RT;3115;20260407;128;10273058396410;SO101;247;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;4194;10273036694910;SO101;213;20260403;201;NON VUOLE PAGARE 
RT;3115;20260407;4446;10273043125570;SO101;248;20260407;200;NON RISPONDE
RT;3115;20260407;5503;10273048892220;SO101;249;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;6474;10273051793720;SO101;250;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;6829;10273052612530;SO101;251;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;10341;10393051085580;SO101;252;20260407;200;NON RISPONDE
RT;3115;20260407;10364;10393051313150;SO101;253;20260407;100;PAGA 1 RATA
RT;3115;20260407;10746;10393053921310;SO101;254;20260407;100;PAGA 1 RATA
RT;3115;20260407;11886;10393057609070;SO101;255;20260407;100;PAGA 1 RATA
RT;3115;20260402;12065;10393058458520;SO101;214;20260403;100;PAGA 1 RATA
RT;3115;20260407;12380;10573056845690;SO101;256;20260407;113;SALDA SCADUTO
RT;3115;20260407;14564;13093051589780;SO101;257;20260407;200;NON RISPONDE
RT;3115;20260407;14714;13093054498450;SO101;258;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;16850;13103051244460;SO101;259;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;17005;13103052090850;SO101;215;20260403;100;PAGA 1 RATA
RT;3115;20260407;17411;13103054184400;SO101;260;20260407;200;NON RISPONDE
RT;3115;20260402;23778;10193053492970;SO101;216;20260403;100;PAGA 1 RATA
RT;3115;20260407;33081;13103043852530;SO101;261;20260407;200;NON RISPONDE
RT;3115;20260402;37518;13093055564600;SO101;217;20260403;121;PAGA 1 RATA
RT;3115;20260402;44156;10193055915700;SO101;218;20260403;200;NON RISPONDE
RT;3115;20260402;44235;10193056112940;SO101;219;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260402;46882;10273049130680;SO101;220;20260403;121;PAGA 1 RATA
RT;3115;20260407;46926;10273049264890;SO101;262;20260407;200;NON RISPONDE
RT;3115;20260402;47197;10273050174340;SO101;221;20260403;122;1 RT ANTE M. OLTRE A  RECUPERO SECONDA
RT;3115;20260402;47207;10273050216250;SO101;222;20260403;113;SALDA SCADUTO
RT;3115;20260402;47862;10273052741470;SO101;223;20260403;100;PAGA 1 RATA
RT;3115;20260407;49481;10393046313740;SO101;263;20260407;100;PAGA 1 RATA
RT;3115;20260402;49597;10393050955650;SO101;224;20260403;200;NON RISPONDE
RT;3115;20260407;49952;10393055479500;SO101;264;20260407;200;NON RISPONDE
RT;3115;20260402;50433;10573048015540;SO101;225;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260402;50533;10573051129990;SO101;226;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260402;50674;10573056423740;SO101;227;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260402;50740;10573057676660;SO101;228;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260407;51950;13103050445370;SO101;265;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;52062;13103052290630;SO101;229;20260403;100;PAGA 1 RATA
RT;3115;20260402;55177;10151930681000;SO101;230;20260403;121;PAGA 1 RATA
RT;3115;20260407;56209;10193056462030;SO101;266;20260407;200;NON RISPONDE
RT;3115;20260407;56356;10193057222030;SO101;267;20260407;100;PAGA 1 RATA
RT;3115;20260402;56953;10273045269650;SO101;231;20260403;200;NON RISPONDE
RT;3115;20260402;57018;10273046205830;SO101;232;20260403;100;PAGA 1 RATA
RT;3115;20260407;57211;10273048460690;SO101;268;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;57316;10273049339120;SO101;269;20260407;200;NON RISPONDE
RT;3115;20260402;57706;10273052067210;SO101;233;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260407;58027;10273054128540;SO101;270;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;58248;10273055423550;SO101;271;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;58934;10393050419940;SO101;234;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260407;59502;10393056849520;SO101;272;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;59568;10393057627930;SO101;273;20260407;200;NON RISPONDE
RT;3115;20260402;59735;10573047586560;SO101;235;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260402;59756;10573048364950;SO101;236;20260403;100;PAGA 1 RATA
RT;3115;20260402;59801;10573051424710;SO101;237;20260403;002;PROMETTE PAGAMENTO
RT;3115;20260407;59805;10573051743730;SO101;274;20260407;201;CL NON VUOLE PAGARE ENTRO MANDATO
RT;3115;20260402;59963;10573056750300;SO101;238;20260403;100;PAGA 1 RATA
RT;3115;20260407;60762;13093056789180;SO101;275;20260407;120;SALDA SCADUTO
RT;3115;20260402;60966;13103043294980;SO101;239;20260403;100;PAGA 1 RATA
RT;3115;20260407;61077;13103050075180;SO101;276;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;61956;10393057800110;SO101;277;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;62302;10193052629160;SO101;278;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;75075;10193056450060;SO101;240;20260403;113;SALDA SCADUTO
RT;3115;20260402;75441;10273051190490;SO101;241;20260403;100;PAGA 1 RATA
RT;3115;20260407;76276;10193053881760;SO101;279;20260407;113;SALDA SCADUTO
RT;3115;20260402;77455;10273058119350;SO101;242;20260403;100;PAGA 1 RATA
RT;3115;20260407;78135;13093056529510;SO101;280;20260407;113;SALDA SCADUTO
RT;3115;20260407;80695;10273054069950;SO101;281;20260407;100;PAGA 1 RATA
RT;3115;20260402;92192;10573058789080;SO101;243;20260403;204;CL RIVOLTO A BRAVO
RT;3115;20260407;92677;13103044860560;SO101;282;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;92731;10193050579380;SO101;283;20260407;200;NON RISPONDE
RT;3115;20260407;92772;10193053258010;SO101;284;20260407;200;NON RISPONDE
RT;3115;20260407;93233;10273049153610;SO101;285;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;93821;10393058951200;SO101;286;20260407;113;SALDA SCADUTO
RT;3115;20260407;96333;10363053715420;SO101;287;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;102347;10573059179960;SO101;244;20260403;100;PAGA 1 RATA
RT;3115;20260402;102356;10573059272780;SO101;245;20260403;100;PAGA 1 RATA
RT;3115;20260407;102953;10193059096050;SO101;288;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;103032;10273045711530;SO101;289;20260407;200;NON RISPONDE
RT;3115;20260407;107114;10393058093080;SO101;290;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;112846;10393057537610;SO101;291;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260407;113024;13093057364710;SO101;292;20260407;113;SALDA SCADUTO
RT;3115;20260407;113593;13093058059320;SO101;293;20260407;002;PROMETTE PAGAMENTO
RT;3115;20260402;118426;10573058903590;SO101;246;20260403;200;NON RISPONDE
RT;3115;20260407;118823;10193059166120;SO101;294;20260407;200;NON RISPONDE
RT;3115;20260407;118827;10193059202760;SO101;295;20260407;200;NON RISPONDE
RT;3115;20260407;118933;10273048970380;SO101;296;20260407;100;PAGA 1 RATA
RT;3115;20260407;119586;13093055941610;SO101;297;20260407;113;SALDA SCADUTO
RT;3115;20260410;120558;10273056894400;SO101;299;20260410;002;PROMETTE PAGAMENTO
RT;3115;20260407;120695;13093058889030;SO101;298;20260407;100;PAGA 1 RATA
