Seq|Campo|Alias|Tipo|Lungh|Byte|Posizione
001|EER0001|EER_LOTTO_REC|S|7|7|1-7
002|EER0002|EER_DATA_INCAR|S|8|8|8-15
003|EER0003|EER_PROVENIENZA|A|2|2|16-17
004|EER0004|EER_N_PRATICA|S|12|12|18-29
005|EER0005|EER_RECUPERATORE|A|5|5|30-34
006|EER0128|EER_TIPO_AFFIDAMENTO|A|5|5|35-39
007|EER0006|EER_SCAD_INCA|S|8|8|40-47
008|EER0007|EER_PROGR|S|5|5|48-52
009|EER0008|EER_NOME_DEBIT|A|60|60|53-112
010|EER0009|EER_INDIR|A|30|30|113-142
011|EER0010|EER_LOCALITA|A|30|30|143-172
012|EER0011|EER_PROVINCIA|A|2|2|173-174
013|EER0012|EER_CAP|S|5|5|175-179
014|EER0013|EER_DATA_NASC_CLI|S|8|8|180-187
015|EER0014|EER_LOC_NASC_CLI|A|30|30|188-217
016|EER0015|EER_COD_FISC_CLI|A|16|16|218-233
017|EER0016|EER_TELEFONO|A|15|15|234-248
018|EER0017|EER_TELEFONO_2|A|15|15|249-263
019|EER0018|EER_TELEFONO_CELL|A|15|15|264-278
020|EER0019|EER_DL_RAG|A|30|30|279-308
021|EER0020|EER_DL_INDIR|A|30|30|309-338
022|EER0021|EER_DL_LOC|A|30|30|339-368
023|EER0022|EER_DL_PROV|A|2|2|369-370
024|EER0023|EER_DL_CAP|S|5|5|371-375
025|EER0024|EER_DL_TELEF|A|15|15|376-390
026|EER0025|EER_N_RATE|S|3|3|391-393
027|EER0026|EER_DEBITO_RES|S|12|12|394-405
028|EER0B26|EER_DEBITO_RES_S|A|1|1|406-406
029|EER0027|EER_IMPORTO_RATA|S|12|12|407-418
030|EER0B27|EER_IMPORTO_RATA_S|A|1|1|419-419
031|EER0028|EER_TOTALE_A|S|12|12|420-431
032|EER0B28|EER_TOTALE_A_S|A|1|1|432-432
033|EER0029|EER_INTERESSI|S|12|12|433-444
034|EER0B29|EER_INTERESSI_S|A|1|1|445-445
035|EER0030|EER_SPESE|S|12|12|446-457
